origin,shape,carat_weight,color,clarity,cut,price
NATURAL,princess,0.31,G,I1,Excellent,405
NATURAL,round,0.32,J,VVS1,Excellent,410
NATURAL,round,0.30,K,VVS2,Excellent,365
NATURAL,round,0.23,J,VVS2,Very_Good,388
NATURAL,round,0.18,D,VS2,Excellent,386
NATURAL,round,0.31,J,I1,Very_Good,368
NATURAL,round,0.24,J,VS2,Excellent,400
NATURAL,round,0.18,D,SI1,Excellent,372
NATURAL,round,0.30,J,SI1,Excellent,398
NATURAL,emerald,0.29,D,SI2,Excellent,335
NATURAL,round,0.18,G,VVS2,Excellent,385
NATURAL,round,0.18,D,VS1,Excellent,386
NATURAL,round,0.35,G,SI2,Good,347
NATURAL,round,0.36,K,VS1,Excellent,384
NATURAL,round,0.30,J,SI1,Good,336
NATURAL,round,0.27,K,I1,Very_Good,285
NATURAL,pear,0.30,D,I1,Excellent,396
NATURAL,pear,0.36,J,SI2,Very_Good,397
NATURAL,round,0.23,J,VS2,Very_Good,408
NATURAL,round,0.36,I,SI2,Excellent,392
NATURAL,round,0.30,K,VS1,Excellent,408
NATURAL,round,0.22,D,VS1,Fair,401
NATURAL,round,0.30,I,SI2,Excellent,388
NATURAL,round,0.30,I,SI1,Very_Good,379
NATURAL,round,0.23,I,VVS1,Excellent,410
NATURAL,round,0.30,K,VS1,Excellent,326
NATURAL,princess,0.23,E,VS2,Excellent,399
NATURAL,round,0.30,J,I1,Excellent,356
NATURAL,oval,0.24,F,SI1,Excellent,411
NATURAL,round,0.32,K,SI1,Very_Good,365
NATURAL,pear,0.24,F,VS2,Excellent,360
NATURAL,round,0.31,J,I1,Very_Good,368
NATURAL,round,0.30,J,I1,Very_Good,345
NATURAL,round,0.33,G,I1,Excellent,368
NATURAL,round,0.23,K,VVS2,Excellent,378
NATURAL,round,0.30,I,VS1,Very_Good,409
NATURAL,round,0.24,J,SI1,Excellent,409
NATURAL,round,0.30,K,VS1,Excellent,393
NATURAL,round,0.31,E,I1,Very_Good,412
NATURAL,round,0.30,J,I1,Very_Good,337
NATURAL,emerald,0.31,G,VVS2,Excellent,389
NATURAL,radiant,0.24,K,VS1,Excellent,284
NATURAL,round,0.31,H,I1,Good,333
NATURAL,round,0.30,K,SI2,Excellent,382
NATURAL,round,0.31,H,I1,Very_Good,379
NATURAL,round,0.30,K,VS2,Very_Good,386
NATURAL,round,0.30,J,I1,Excellent,356
NATURAL,round,0.23,D,SI2,Excellent,312
NATURAL,round,0.30,I,I1,Very_Good,369
NATURAL,round,0.18,H,VS2,Excellent,352
NATURAL,round,0.18,H,VVS2,Excellent,345
NATURAL,round,0.30,H,I1,Excellent,379
NATURAL,round,0.34,K,VS1,Excellent,404
NATURAL,round,0.30,K,SI2,Excellent,357
NATURAL,round,0.33,K,VS2,Good,347
NATURAL,round,0.29,H,SI2,Good,407
NATURAL,round,0.36,E,I1,Excellent,400
NATURAL,round,0.30,D,SI3,Very_Good,409
NATURAL,round,0.34,J,VVS2,Excellent,409
NATURAL,pear,0.30,G,SI1,Excellent,317
NATURAL,princess,0.23,J,VS2,Excellent,368
NATURAL,pear,0.32,F,I1,Excellent,375
NATURAL,round,0.30,J,VS1,Excellent,365
NATURAL,round,0.37,F,I1,Very_Good,403
NATURAL,round,0.30,K,VVS2,Very_Good,386
NATURAL,round,0.31,J,VVS2,Excellent,410
NATURAL,round,0.30,K,SI1,Very_Good,409
NATURAL,round,0.30,G,I1,Very_Good,392
NATURAL,round,0.26,I,VVS1,Excellent,381
NATURAL,emerald,0.30,G,VVS1,Excellent,395
NATURAL,round,0.18,E,SI1,Excellent,330
NATURAL,round,0.23,J,VVS2,Very_Good,354
NATURAL,round,0.30,J,VS2,Excellent,394
NATURAL,round,0.33,I,SI2,Good,409
NATURAL,round,0.23,I,VS1,Excellent,392
NATURAL,round,0.30,J,SI2,Excellent,412
NATURAL,round,0.30,I,VS2,Very_Good,382
NATURAL,round,0.30,K,VS1,Excellent,408
NATURAL,round,0.21,I,VVS1,Very_Good,401
NATURAL,round,0.18,E,VS2,Excellent,380
NATURAL,emerald,0.30,G,VVS1,Excellent,391
NATURAL,round,0.35,J,SI2,Good,347
NATURAL,princess,0.24,F,VS2,Very_Good,360
NATURAL,round,0.22,K,VVS1,Excellent,366
NATURAL,princess,0.23,F,VS2,Excellent,388
NATURAL,round,0.30,J,IF,Excellent,398
NATURAL,round,0.30,K,SI1,Very_Good,398
NATURAL,round,0.33,G,I1,Good,381
NATURAL,emerald,0.37,I,VS1,Excellent,402
NATURAL,round,0.21,H,VS1,Excellent,367
NATURAL,round,0.23,I,SI1,Excellent,368
NATURAL,round,0.18,G,VS2,Excellent,408
NATURAL,round,0.34,K,VS1,Excellent,356
NATURAL,princess,0.24,D,VS1,Very_Good,360
NATURAL,round,0.30,K,SI2,Excellent,356
NATURAL,round,0.18,D,VS1,Excellent,394
NATURAL,round,0.30,G,I1,Very_Good,392
